Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Curtis Jones (40676651),Curtis Jones,40676651,PG/G/UTIL,3000,MIA@DEN 11/05/2025 09:00PM ET,DEN,0
PG,Jahmir Young (40676769),Jahmir Young,40676769,PG/G/UTIL,3000,MIA@DEN 11/05/2025 09:00PM ET,MIA,2.88
SG/SF,Myron Gardner (40676772),Myron Gardner,40676772,SG/SF/F/G/UTIL,3000,MIA@DEN 11/05/2025 09:00PM ET,MIA,6.25
C,Vladislav Goldin (40676777),Vladislav Goldin,40676777,C/UTIL,3000,MIA@DEN 11/05/2025 09:00PM ET,MIA,0
SF,Keshad Johnson (40676779),Keshad Johnson,40676779,SF/F/UTIL,3000,MIA@DEN 11/05/2025 09:00PM ET,MIA,6.62
PG,Kasparas Jakucionis (40676782),Kasparas Jakucionis,40676782,PG/G/UTIL,3000,MIA@DEN 11/05/2025 09:00PM ET,MIA,0
PF/C,Jeremiah Robinson-Earl (40676564),Jeremiah Robinson-Earl,40676564,PF/C/F/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,IND,2.25
PG/SG,Taelon Peter (40676568),Taelon Peter,40676568,PG/SG/G/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,IND,3.45
PG/SG,Kam Jones (40676572),Kam Jones,40676572,PG/SG/G/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,IND,0
PG,Tyrese Haliburton (40676576),Tyrese Haliburton,40676576,PG/G/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,IND,0
PF/C,E.J. Liddell (40676684),E.J. Liddell,40676684,PF/C/F/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,BKN,6.38
PG,Tyson Etienne (40676688),Tyson Etienne,40676688,PG/G/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,BKN,0
PG,Nolan Traore (40676691),Nolan Traore,40676691,PG/G/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,BKN,6.08
SG/SF,Drake Powell (40676694),Drake Powell,40676694,SG/SF/F/G/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,BKN,4.75
SF/PF,Haywood Highsmith (40676699),Haywood Highsmith,40676699,SF/PF/F/UTIL,3000,BKN@IND 11/05/2025 07:00PM ET,BKN,0
C,PJ Hall (40676616),PJ Hall,40676616,C/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,MEM,5.33
SF/PF,Olivier-Maxence Prosper (40676618),Olivier-Maxence Prosper,40676618,SF/PF/F/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,MEM,9.25
SF/PF,Gregory Jackson (40676622),Gregory Jackson,40676622,SF/PF/F/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,MEM,4.75
PG/SG,Aaron Holiday (40676744),Aaron Holiday,40676744,PG/SG/G/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,6.75
PF/C,Jeff Green (40676748),Jeff Green,40676748,PF/C/F/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,6.25
SG,Kevon Harris (40676752),Kevon Harris,40676752,SG/G/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,0
SF/PF,Isaiah Crawford (40676755),Isaiah Crawford,40676755,SF/PF/F/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,0
SF/PF,Jae'Sean Tate (40676759),Jae'Sean Tate,40676759,SF/PF/F/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,3.5
PG,JD Davison (40676763),JD Davison,40676763,PG/G/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,8
PG,Fred VanVleet (40676766),Fred VanVleet,40676766,PG/G/UTIL,3000,HOU@MEM 11/05/2025 08:00PM ET,HOU,0
SF,Kevin McCullar Jr. (40676654),Kevin McCullar Jr.,40676654,SF/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,0
C,Trey Jemison (40676657),Trey Jemison,40676657,C/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,2.5
PF,Mohamed Diawara (40676659),Mohamed Diawara,40676659,PF/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,0.33
PG,Tyler Kolek (40676662),Tyler Kolek,40676662,PG/G/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,5.57
SF,Pacome Dadiet (40676665),Pacome Dadiet,40676665,SF/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,0.62
C,Ariel Hukporti (40676668),Ariel Hukporti,40676668,C/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,7.5
PF,Tosan Evbuomwan (40676670),Tosan Evbuomwan,40676670,PF/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,NYK,0
PF,Leonard Miller (40676785),Leonard Miller,40676785,PF/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,MIN,2
C,Joan Beringer (40676788),Joan Beringer,40676788,C/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,MIN,2.06
C,Rocco Zikarsky (40676790),Rocco Zikarsky,40676790,C/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,MIN,0
PF/C,Enrique Freeman (40676792),Enrique Freeman,40676792,PF/C/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,MIN,0
SG/SF,Johnny Juzang (40676796),Johnny Juzang,40676796,SG/SF/F/G/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,MIN,1.92
SF/PF,Joe Ingles (40676801),Joe Ingles,40676801,SF/PF/F/UTIL,3000,MIN@NYK 11/05/2025 07:30PM ET,MIN,0.75
